mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.39574019114176434,0.007363784982800483,0.09372798601786296,4.49566384116203e-07,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8151260504201681,0.8185654008438819,0.8185654008438819,0.817418950702644,0.0016213253383232328,22
0.6404747168223063,2.247831920581015e-07,0.11455583572387695,0.0073635601970353185,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8227848101265823,0.8227848101265823,0.8202318902244442,0.0036103739492558845,17
1.0310072898864746,0.012755033725630393,0.13538519541422525,0.01472785094748563,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8151260504201681,0.8185654008438819,0.810126582278481,0.8146060111808436,0.0034647025175586973,24
0.40615375836690265,1.1734027115689438e-06,0.09372782707214355,1.9466795466607238e-07,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8235294117647058,0.8354430379746836,0.8185654008438819,0.8258459501944238,0.007082298191125252,9
0.6873380343119303,0.055596451585248986,0.11455639203389485,0.007364009763419434,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8235294117647058,0.8354430379746836,0.8185654008438819,0.8258459501944238,0.007082298191125252,9
0.9633151690165201,0.014728356706772895,0.13538471857706705,0.007364178356602659,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8235294117647058,0.8354430379746836,0.8227848101265823,0.827252419955324,0.005799613524719743,7
0.38532622655232746,0.00736429074305274,0.10414234797159831,0.007364684136150744,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8277310924369747,0.8270042194092827,0.8227848101265823,0.8258400406576132,0.002180659120220944,11
0.7237881024678549,0.04479310693637112,0.11455631256103516,0.007364234556903292,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8396624472573839,0.8300712690139346,0.008341507457605524,2
0.9685226281483968,0.012754936397718965,0.1251047452290853,0.00018926744771292147,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,6
0.3957408269246419,0.019483019886344283,0.10934885342915852,0.012755033726125567,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8277310924369747,0.8227848101265823,0.8354430379746836,0.8286529801794136,0.005208652469424026,5
0.6892728010813395,0.04877512101802618,0.11819569269816081,0.010076123672960033,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8319327731092437,0.8227848101265823,0.8354430379746836,0.8300535404035032,0.005335811074576197,4
1.0909569263458252,0.039509644337864844,0.15465672810872397,0.010154907266642648,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.8270042194092827,0.8354430379746836,0.8300594499403137,0.0038183199789483804,3
0.4114244778951009,0.0072466381564697075,0.10517048835754395,0.007294780961121524,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8319327731092437,0.8227848101265823,0.8396624472573839,0.8314600101644034,0.006898371178824935,1
0.7402650515238444,0.012755233796818203,0.11455639203389485,0.00736417835145672,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8361344537815126,0.810126582278481,0.8312236286919831,0.8258282215839922,0.011282291682847351,13
1.0614607334136963,0.04629441391998095,0.14059225718180338,4.052336624139774e-07,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8319327731092437,0.810126582278481,0.8354430379746836,0.8258341311208027,0.011198982329712765,12
0.3905335267384847,0.03374653683703297,0.10414210955301921,0.007364684123286779,8,100,"{'clf__max_depth': 8, 'clf__n_estimators': 100}",0.8319327731092437,0.8059071729957806,0.8438818565400844,0.8272406008817029,0.015854158397345535,8
0.7602379322052002,0.02945609525092308,0.11976369222005208,0.007363616398622956,8,200,"{'clf__max_depth': 8, 'clf__n_estimators': 200}",0.8361344537815126,0.7974683544303798,0.8354430379746836,0.823015282062192,0.018066610962828106,16
1.015386422475179,0.04598779430349905,0.14059225718180338,0.012754644390216249,8,300,"{'clf__max_depth': 8, 'clf__n_estimators': 300}",0.8361344537815126,0.8016877637130801,0.8354430379746836,0.8244217518230922,0.01607783516717155,14
0.38532543182373047,0.014727963333935522,0.09893568356831868,0.007363672591204493,9,100,"{'clf__max_depth': 9, 'clf__n_estimators': 100}",0.8235294117647058,0.8143459915611815,0.8227848101265823,0.8202200711508233,0.00416471016750332,20
0.7342027028401693,0.055596853524453475,0.11976305643717448,0.0073640097659924625,9,200,"{'clf__max_depth': 9, 'clf__n_estimators': 200}",0.8277310924369747,0.8016877637130801,0.8312236286919831,0.8202141616140127,0.013177506510740039,21
1.03621506690979,0.051547329771670945,0.1405921777089437,0.012754060387837904,9,300,"{'clf__max_depth': 9, 'clf__n_estimators': 300}",0.8235294117647058,0.8059071729957806,0.8396624472573839,0.8230330106726234,0.013785002615213872,15
0.38011924425760907,0.00736395358370297,0.10414187113444011,0.0073641783514567195,10,100,"{'clf__max_depth': 10, 'clf__n_estimators': 100}",0.8109243697478992,0.7974683544303798,0.8396624472573839,0.8160183904785544,0.01759824144200624,23
0.7237881819407145,0.07024756916480565,0.1041422684987386,0.007364122157588452,10,200,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",0.8151260504201681,0.8059071729957806,0.8396624472573839,0.8202318902244441,0.014245627052987465,18
